instance_id,repo,prior_instance_id,target_instance_id,prior_gold_files,target_gold_files,prior_gold_file_count,target_gold_file_count,prior_gold_target_gold_file_intersection,prior_gold_target_gold_file_intersection_count,prior_gold_target_gold_jaccard,prior_gold_target_gold_same_file_bool,prior_gold_target_gold_same_dir_bool,prior_trajectory_inspected_files,prior_trajectory_edited_files,prior_trajectory_test_files,prior_trajectory_source_files,prior_inspected_target_gold_intersection,prior_inspected_target_gold_intersection_count,prior_inspected_target_gold_jaccard,prior_inspected_target_gold_same_file_bool,prior_inspected_target_gold_same_dir_bool,prior_edited_target_gold_intersection,prior_edited_target_gold_intersection_count,prior_edited_target_gold_jaccard,prior_edited_target_gold_same_file_bool,prior_edited_target_gold_same_dir_bool,raw_resolved,adp_resolved,memory_resolved,no_memory_resolved,overlap_bucket,localization_bucket
django__django-30931,django/django,django__django-12284,django__django-30931,,,,,,,,,,django/db/models/base.py;django/db/models/fields/__init__.py;tests/model_fields/tests.py,django/db/models/fields/__init__.py;test_comprehensive.py,test_comprehensive.py,django/db/models/base.py;django/db/models/fields/__init__.py;tests/model_fields/tests.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-31051,django/django,django__django-12453,django__django-31051,,,,,,,,,,django/db/backends/base/creation.py;tests/test_utils/models.py;tests/test_utils/test_transactiontestcase.py,django/db/backends/base/creation.py,tests/test_utils/models.py;tests/test_utils/test_transactiontestcase.py,django/db/backends/base/creation.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-31181,django/django,django__django-14855,django__django-31181,,,,,,,,,,django/contrib/admin/helpers.py;tests;tests/admin_utils/test_logentry.py;tests/admin_views;tests/admin_views/admin.py;tests/admin_views/customadmin.py,django/contrib/admin/helpers.py;verify_fix.py,tests/admin_utils/test_logentry.py,django/contrib/admin/helpers.py;tests;tests/admin_views;tests/admin_views/admin.py;tests/admin_views/customadmin.py;verify_fix.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-31864,django/django,django__django-13321,django__django-31864,,,,,,,,,,django/contrib/sessions/backends/base.py,django/contrib/sessions/backends/base.py;test_session_decode_fix.py,test_session_decode_fix.py,django/contrib/sessions/backends/base.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-32260,django/django,django__django-14787,django__django-32260,,,,,,,,,,django/utils/decorators.py,django/utils/decorators.py;test_wrapper_assignments.py,test_wrapper_assignments.py,django/utils/decorators.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-32450,django/django,django__django-14017,django__django-32450,,,,,,,,,,django/db/models/expressions.py;django/db/models/query_utils.py;tests/queries/models.py;tests/queries/test_q.py,django/db/models/query_utils.py;tests/queries/test_q.py,tests/queries/test_q.py,django/db/models/expressions.py;django/db/models/query_utils.py;tests/queries/models.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-33461,django/django,django__django-15388,django__django-33461,,,,,,,,,,django/conf/project_template/project_name/settings.py-tpl;django/template/autoreload.py;django/utils/_os.py;django/utils/autoreload.py;tests/template_tests/test_autoreloader.py,django/template/autoreload.py;test_base_dir_fix.py;test_simple_fix.py,test_base_dir_fix.py;test_simple_fix.py;tests/template_tests/test_autoreloader.py,django/conf/project_template/project_name/settings.py-tpl;django/template/autoreload.py;django/utils/_os.py;django/utils/autoreload.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-33871,django/django,django__django-16229,django__django-33871,,,,,,,,,,django/db/models/fields/__init__.py;django/forms;django/forms/boundfield.py;django/forms/fields.py;django/forms/forms.py;django/forms/models.py;tests;tests/model_forms/tests.py;~/Desktop/swebbed/django/forms/boundfield.py,django/db/models/fields/__init__.py;test_arrayfield_issue.py;test_has_changed.py;tests/model_forms/tests.py,test_arrayfield_issue.py;test_has_changed.py,django/db/models/fields/__init__.py;django/forms;django/forms/boundfield.py;django/forms/fields.py;django/forms/forms.py;django/forms/models.py;tests;tests/model_forms/tests.py;~/Desktop/swebbed/django/forms/boundfield.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-34176,django/django,django__django-12589,django__django-34176,,,,,,,,,,django/db;django/db/models;django/db/models/expressions.py;django/db/models/sql;django/db/models/sql/compiler.py;tests;tests/aggregation/models.py;tests/annotations/models.py;tests/annotations/tests.py,django/db/models/expressions.py;test_fix.py;tests/aggregation/test_issue_12589.py,test_fix.py;tests/aggregation/test_issue_12589.py,django/db;django/db/models;django/db/models/expressions.py;django/db/models/sql;django/db/models/sql/compiler.py;tests;tests/aggregation/models.py;tests/annotations/models.py;tests/annotations/tests.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-34481,django/django,django__django-16816,django__django-34481,,,,,,,,,,django/contrib/admin/checks.py;django/db/models/fields/related_descriptors.py;tests/modeladmin/models.py;tests/modeladmin/test_checks.py,django/contrib/admin/checks.py;test_fix.py;verify_fix.py,test_fix.py;tests/modeladmin/test_checks.py,django/contrib/admin/checks.py;django/db/models/fields/related_descriptors.py;tests/modeladmin/models.py;verify_fix.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-34525,django/django,django__django-16820,django__django-34525,,,,,,,,,,django/db/migrations;django/db/migrations/operations;django/db/migrations/operations/models.py;django/db/migrations/optimizer.py;django/db/models/options.py;docs/releases/4.2.txt;tests;tests/README.rst;tests/migrations;tests/migrations/test_optimizer.py,SOLUTION_SUMMARY.md;django/db/migrations/operations/models.py;test_debug2.py;test_issue_simple.py;tests/migrations/test_optimizer.py,test_debug2.py;test_issue_simple.py;tests/migrations/test_optimizer.py,SOLUTION_SUMMARY.md;django/db/migrations;django/db/migrations/operations;django/db/migrations/operations/models.py;django/db/migrations/optimizer.py;django/db/models/options.py;docs/releases/4.2.txt;tests;tests/README.rst;tests/migrations,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-34570,django/django,django__django-16910,django__django-34570,,,,,,,,,,django/db/models/query.py;django/db/models/sql;django/db/models/sql/query.py,django/db/models/sql/query.py,,django/db/models/query.py;django/db/models/sql;django/db/models/sql/query.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
django__django-35356,django/django,django__django-16910,django__django-35356,,,,,,,,,,django/db/models/query.py;django/db/models/sql;django/db/models/sql/query.py,django/db/models/sql/query.py,,django/db/models/query.py;django/db/models/sql;django/db/models/sql/query.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-10050,matplotlib/matplotlib,matplotlib__matplotlib-23913,matplotlib__matplotlib-10050,,,,,,,,,,lib/matplotlib/legend.py,lib/matplotlib/legend.py;test_draggable.py,test_draggable.py,lib/matplotlib/legend.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-18294,matplotlib/matplotlib,matplotlib__matplotlib-24149,matplotlib__matplotlib-18294,,,,,,,,,,lib/matplotlib/axes/_axes.py;lib/matplotlib/cbook/__init__.py,lib/matplotlib/axes/_axes.py;test_bug.py;test_comprehensive.py,test_bug.py;test_comprehensive.py,lib/matplotlib/axes/_axes.py;lib/matplotlib/cbook/__init__.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-22482,matplotlib/matplotlib,matplotlib__matplotlib-25332,matplotlib__matplotlib-22482,,,,,,,,,,lib/matplotlib/cbook.py;lib/matplotlib/figure.py,final_test.py;lib/matplotlib/cbook.py;test_grouper_debug2.py;test_grouper_minimal.py;test_grouper_pickle.py;test_matplotlib_pickle.py;test_pickle_issue.py,final_test.py;test_grouper_debug2.py;test_grouper_minimal.py;test_grouper_pickle.py;test_matplotlib_pickle.py;test_pickle_issue.py,lib/matplotlib/cbook.py;lib/matplotlib/figure.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-22686,matplotlib/matplotlib,matplotlib__matplotlib-22711,matplotlib__matplotlib-22686,,,,,,,,,,lib/matplotlib/widgets.py,lib/matplotlib/widgets.py;test_rangeslider.py;test_rangeslider_comprehensive.py,test_rangeslider.py;test_rangeslider_comprehensive.py,lib/matplotlib/widgets.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-22706,matplotlib/matplotlib,matplotlib__matplotlib-22711,matplotlib__matplotlib-22706,,,,,,,,,,lib/matplotlib/widgets.py,lib/matplotlib/widgets.py;test_rangeslider.py;test_rangeslider_comprehensive.py,test_rangeslider.py;test_rangeslider_comprehensive.py,lib/matplotlib/widgets.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-23098,matplotlib/matplotlib,matplotlib__matplotlib-22835,matplotlib__matplotlib-23098,,,,,,,,,,lib/matplotlib/artist.py;lib/matplotlib/colors.py,lib/matplotlib/artist.py;test_boundarynorm_fix.py;test_comprehensive.py,test_boundarynorm_fix.py;test_comprehensive.py,lib/matplotlib/artist.py;lib/matplotlib/colors.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-23172,matplotlib/matplotlib,matplotlib__matplotlib-23299,matplotlib__matplotlib-23172,,,,,,,,,,lib/matplotlib/__init__.py;lib/matplotlib/pyplot.py;testbed,lib/matplotlib/__init__.py;reproduce_bug.py;reproduce_bug2.py;test_backend.py;test_backend_name.py;test_backend_stored.py;test_close.py;test_workarounds.py,test_backend.py;test_backend_name.py;test_backend_stored.py;test_close.py;test_workarounds.py,lib/matplotlib/__init__.py;lib/matplotlib/pyplot.py;reproduce_bug.py;reproduce_bug2.py;testbed,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-23687,matplotlib/matplotlib,matplotlib__matplotlib-24149,matplotlib__matplotlib-23687,,,,,,,,,,lib/matplotlib/axes/_axes.py;lib/matplotlib/cbook/__init__.py,lib/matplotlib/axes/_axes.py;test_bug.py;test_comprehensive.py,test_bug.py;test_comprehensive.py,lib/matplotlib/axes/_axes.py;lib/matplotlib/cbook/__init__.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-24818,matplotlib/matplotlib,matplotlib__matplotlib-24149,matplotlib__matplotlib-24818,,,,,,,,,,lib/matplotlib/axes/_axes.py;lib/matplotlib/cbook/__init__.py,lib/matplotlib/axes/_axes.py;test_bug.py;test_comprehensive.py,test_bug.py;test_comprehensive.py,lib/matplotlib/axes/_axes.py;lib/matplotlib/cbook/__init__.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-25352,matplotlib/matplotlib,matplotlib__matplotlib-25332,matplotlib__matplotlib-25352,,,,,,,,,,lib/matplotlib/cbook.py;lib/matplotlib/figure.py,final_test.py;lib/matplotlib/cbook.py;test_grouper_debug2.py;test_grouper_minimal.py;test_grouper_pickle.py;test_matplotlib_pickle.py;test_pickle_issue.py,final_test.py;test_grouper_debug2.py;test_grouper_minimal.py;test_grouper_pickle.py;test_matplotlib_pickle.py;test_pickle_issue.py,lib/matplotlib/cbook.py;lib/matplotlib/figure.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-26331,matplotlib/matplotlib,matplotlib__matplotlib-26020,matplotlib__matplotlib-26331,,,,,,,,,,lib/mpl_toolkits/axes_grid1/axes_grid.py;lib/mpl_toolkits/axes_grid1/mpl_axes.py,lib/mpl_toolkits/axes_grid1/axes_grid.py;test_comprehensive.py,test_comprehensive.py,lib/mpl_toolkits/axes_grid1/axes_grid.py;lib/mpl_toolkits/axes_grid1/mpl_axes.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
matplotlib__matplotlib-27361,matplotlib/matplotlib,matplotlib__matplotlib-23562,matplotlib__matplotlib-27361,,,,,,,,,,lib/matplotlib/collections.py;lib/mpl_toolkits/mplot3d/art3d.py;lib/mpl_toolkits/mplot3d/axes3d.py,lib/mpl_toolkits/mplot3d/art3d.py;test_comprehensive.py,test_comprehensive.py,lib/matplotlib/collections.py;lib/mpl_toolkits/mplot3d/art3d.py;lib/mpl_toolkits/mplot3d/axes3d.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
mwaskom__seaborn-3091,mwaskom/seaborn,mwaskom__seaborn-3010,mwaskom__seaborn-3091,,,,,,,,,,seaborn/_stats/aggregation.py;seaborn/_stats/regression.py;tests/_stats/test_regression.py,seaborn/_stats/regression.py;test_comprehensive.py;test_edge_cases.py,test_comprehensive.py;test_edge_cases.py;tests/_stats/test_regression.py,seaborn/_stats/aggregation.py;seaborn/_stats/regression.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
mwaskom__seaborn-3203,mwaskom/seaborn,mwaskom__seaborn-3190,mwaskom__seaborn-3203,,,,,,,,,,seaborn/_core/scales.py,seaborn/_core/scales.py;test_comprehensive.py;test_simple.py,test_comprehensive.py;test_simple.py,seaborn/_core/scales.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
pallets__flask-4039,pallets/flask,pallets__flask-4045,pallets__flask-4039,,,,,,,,,,src/flask/blueprints.py,src/flask/blueprints.py,,src/flask/blueprints.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
psf__requests-2344,psf/requests,psf__requests-2674,psf__requests-2344,,,,,,,,,,requests/adapters.py;requests/exceptions.py;requests/models.py;requests/packages/urllib3/exceptions.py,requests/adapters.py,,requests/adapters.py;requests/exceptions.py;requests/models.py;requests/packages/urllib3/exceptions.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
psf__requests-3359,psf/requests,psf__requests-3362,psf__requests-3359,,,,,,,,,,requests;requests/compat.py;requests/models.py;requests/utils.py;tests/compat.py;tests/test_requests.py,requests/utils.py;test_comprehensive.py,test_comprehensive.py;tests/test_requests.py,requests;requests/compat.py;requests/models.py;requests/utils.py;tests/compat.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
psf__requests-3481,psf/requests,psf__requests-3362,psf__requests-3481,,,,,,,,,,requests;requests/compat.py;requests/models.py;requests/utils.py;tests/compat.py;tests/test_requests.py,requests/utils.py;test_comprehensive.py,test_comprehensive.py;tests/test_requests.py,requests;requests/compat.py;requests/models.py;requests/utils.py;tests/compat.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
pydata__xarray-4529,pydata/xarray,pydata__xarray-4493,pydata__xarray-4529,,,,,,,,,,xarray;xarray/core/dataarray.py;xarray/core/dataset.py;xarray/core/merge.py;xarray/core/variable.py;xarray/tests/test_dataset.py,test_fix.py;xarray/core/variable.py,test_fix.py;xarray/tests/test_dataset.py,xarray;xarray/core/dataarray.py;xarray/core/dataset.py;xarray/core/merge.py;xarray/core/variable.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
pydata__xarray-508,pydata/xarray,pydata__xarray-3364,pydata__xarray-508,,,,,,,,,,xarray/core;xarray/core/alignment.py;xarray/core/concat.py;xarray/tests/test_concat.py,test_comprehensive.py;xarray/core/concat.py,test_comprehensive.py;xarray/tests/test_concat.py,xarray/core;xarray/core/alignment.py;xarray/core/concat.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
pylint-dev__pylint-6471,pylint-dev/pylint,pylint-dev__pylint-7080,pylint-dev__pylint-6471,,,,,,,,,,pylint/lint/pylinter.py;tests;tests/regrtest_data/directory/ignored_subdirectory/failing.py;tests/test_self.py,pylint/lint/pylinter.py;test_recursive_ignore/pyproject.toml;test_recursive_ignore/src/gen/about.py;test_recursive_ignore/src/region_selection.py,test_recursive_ignore/pyproject.toml;test_recursive_ignore/src/gen/about.py;test_recursive_ignore/src/region_selection.py;tests/test_self.py,pylint/lint/pylinter.py;tests;tests/regrtest_data/directory/ignored_subdirectory/failing.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
pytest-dev__pytest-10341,pytest-dev/pytest,pytest-dev__pytest-11148,pytest-dev__pytest-10341,,,,,,,,,,src/_pytest/pathlib.py;testing/acceptance_test.py;testing/test_pathlib.py,changelog/10811.bugfix.rst;src/_pytest/pathlib.py;testing/acceptance_test.py;testing/test_pathlib.py,testing/acceptance_test.py;testing/test_pathlib.py,changelog/10811.bugfix.rst;src/_pytest/pathlib.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
pytest-dev__pytest-9358,pytest-dev/pytest,pytest-dev__pytest-8365,pytest-dev__pytest-9358,,,,,,,,,,src/_pytest/tmpdir.py;testing;testing/test_tmpdir.py,run_test_with_env.py;src/_pytest/tmpdir.py;test_tmpdir_fix.py,test_tmpdir_fix.py;testing/test_tmpdir.py,run_test_with_env.py;src/_pytest/tmpdir.py;testing,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
scikit-learn__scikit-learn-12622,scikit-learn/scikit-learn,scikit-learn__scikit-learn-10949,scikit-learn__scikit-learn-12622,,,,,,,,,,sklearn/utils/tests/test_validation.py;sklearn/utils/validation.py,SOLUTION_SUMMARY.md;sklearn/utils/tests/test_validation.py;sklearn/utils/validation.py;test_fix.py;test_fix_complete.py;test_original_issue.py;test_simple.py;test_validation_direct.py,sklearn/utils/tests/test_validation.py;test_fix.py;test_fix_complete.py;test_original_issue.py;test_simple.py;test_validation_direct.py,SOLUTION_SUMMARY.md;sklearn/utils/validation.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
scikit-learn__scikit-learn-13771,scikit-learn/scikit-learn,scikit-learn__scikit-learn-13779,scikit-learn__scikit-learn-13771,,,,,,,,,,sklearn/ensemble/tests/test_voting.py;sklearn/ensemble/voting.py,simple_test.py;sklearn/ensemble/tests/test_voting.py;sklearn/ensemble/voting.py;test_fix.py,simple_test.py;sklearn/ensemble/tests/test_voting.py;test_fix.py,sklearn/ensemble/voting.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
scikit-learn__scikit-learn-15093,scikit-learn/scikit-learn,scikit-learn__scikit-learn-10949,scikit-learn__scikit-learn-15093,,,,,,,,,,sklearn/utils/tests/test_validation.py;sklearn/utils/validation.py,SOLUTION_SUMMARY.md;sklearn/utils/tests/test_validation.py;sklearn/utils/validation.py;test_fix.py;test_fix_complete.py;test_original_issue.py;test_simple.py;test_validation_direct.py,sklearn/utils/tests/test_validation.py;test_fix.py;test_fix_complete.py;test_original_issue.py;test_simple.py;test_validation_direct.py,SOLUTION_SUMMARY.md;sklearn/utils/validation.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
scikit-learn__scikit-learn-25365,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25500,scikit-learn__scikit-learn-25365,,,,,,,,,,sklearn;sklearn/calibration.py;sklearn/tests/test_calibration.py;sklearn/utils,sklearn/calibration.py;test_fix.py,sklearn/tests/test_calibration.py;test_fix.py,sklearn;sklearn/calibration.py;sklearn/utils,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
scikit-learn__scikit-learn-25578,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25638,scikit-learn__scikit-learn-25578,,,,,,,,,,sklearn/utils/_array_api.py;sklearn/utils/multiclass.py;sklearn/utils/tests/test_multiclass.py,run_test.py;sklearn/utils/multiclass.py;test_direct.py;test_direct_v2.py;test_fix.py;test_fix_minimal.py;test_nullable_dtypes.py,run_test.py;sklearn/utils/tests/test_multiclass.py;test_direct.py;test_direct_v2.py;test_fix.py;test_fix_minimal.py;test_nullable_dtypes.py,sklearn/utils/_array_api.py;sklearn/utils/multiclass.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
scikit-learn__scikit-learn-25634,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25638,scikit-learn__scikit-learn-25634,,,,,,,,,,sklearn/utils/_array_api.py;sklearn/utils/multiclass.py;sklearn/utils/tests/test_multiclass.py,run_test.py;sklearn/utils/multiclass.py;test_direct.py;test_direct_v2.py;test_fix.py;test_fix_minimal.py;test_nullable_dtypes.py,run_test.py;sklearn/utils/tests/test_multiclass.py;test_direct.py;test_direct_v2.py;test_fix.py;test_fix_minimal.py;test_nullable_dtypes.py,sklearn/utils/_array_api.py;sklearn/utils/multiclass.py,,,,,,,,,,,,,,,unknown_gold_overlap,unknown
