instance_id,condition,resolved,non_empty_patch,empty_patch,run_status,wall_seconds,llm_calls,iterations,input_tokens,output_tokens,total_tokens,max_turn_tokens,num_bash_commands,num_grep_commands,num_find_commands,num_rg_commands,num_pytest_commands,num_test_commands,num_file_reads,num_file_writes,num_file_edits,num_apply_patch_attempts,num_git_diff_commands,num_git_status_commands,first_file_read,first_file_edited,all_files_read,all_files_edited,all_commands_run,mentions_prior_context_bool,mentions_prior_file_paths_bool,mentions_prior_failure_signature_bool,ran_tests_bool,tests_passed_observed_bool,tests_failed_observed_bool,last_test_failure_signature,last_runtime_error_signature,timeout_bool,tool_error_count,model_empty_message_count,security_risk_unknown_count
django__django-30931,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31051,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31051,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31051,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31051,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31181,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31181,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31181,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31181,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31864,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31864,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31864,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-31864,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-32260,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-32260,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-32260,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-32260,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-32450,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-32450,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-32450,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-32450,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-33461,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-33461,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-33461,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-33461,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-33871,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-33871,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-33871,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-33871,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34176,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34176,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34176,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34176,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34481,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34481,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34481,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34481,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34525,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34525,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34525,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34525,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34570,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34570,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34570,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-34570,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-35356,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-35356,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-35356,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django__django-35356,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-10050,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-10050,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-10050,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-10050,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-18294,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-18294,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-18294,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-18294,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22482,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22482,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22482,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22482,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22686,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22686,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22686,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22686,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22706,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22706,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22706,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-22706,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23098,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23098,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23098,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23098,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23172,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23172,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23172,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23172,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23687,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23687,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23687,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-23687,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-24818,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-24818,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-24818,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-24818,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-25352,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-25352,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-25352,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-25352,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-26331,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-26331,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-26331,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-26331,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-27361,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-27361,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-27361,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-27361,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-3091,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-3091,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-3091,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-3091,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-3203,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-3203,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-3203,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-3203,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pallets__flask-4039,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pallets__flask-4039,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pallets__flask-4039,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pallets__flask-4039,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-2344,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-2344,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-2344,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-2344,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-3359,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-3359,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-3359,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-3359,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-3481,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-3481,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-3481,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-3481,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-4529,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-4529,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-4529,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-4529,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-508,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-508,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-508,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-508,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylint-dev__pylint-6471,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylint-dev__pylint-6471,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylint-dev__pylint-6471,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylint-dev__pylint-6471,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-dev__pytest-10341,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-dev__pytest-10341,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-dev__pytest-10341,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-dev__pytest-10341,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-dev__pytest-9358,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-dev__pytest-9358,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-dev__pytest-9358,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-dev__pytest-9358,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12622,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12622,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12622,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12622,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-13771,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-13771,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-13771,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-13771,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-15093,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-15093,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-15093,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-15093,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-25365,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-25365,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-25365,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-25365,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-25578,no_memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-25578,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-25578,adp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
