instance_id,no_memory,raw,adp,memory,pattern_label,solved_by_count,solved_by_conditions
matplotlib__matplotlib-10050,1,1,1,1,all_solved,4,no_memory;raw;adp;memory
matplotlib__matplotlib-18294,0,0,0,0,all_failed,0,
matplotlib__matplotlib-22482,1,0,0,0,only_no_memory;no_memory_only_against_all_prior,1,no_memory
matplotlib__matplotlib-22686,1,1,1,1,all_solved,4,no_memory;raw;adp;memory
matplotlib__matplotlib-22706,1,1,1,1,all_solved,4,no_memory;raw;adp;memory
matplotlib__matplotlib-23098,0,0,0,0,all_failed,0,
matplotlib__matplotlib-23172,0,0,0,0,all_failed,0,
matplotlib__matplotlib-23687,0,0,0,0,all_failed,0,
matplotlib__matplotlib-24818,0,0,0,0,all_failed,0,
matplotlib__matplotlib-25352,0,1,0,0,only_raw;any_prior_not_no_memory;raw_wins_memory_loses;raw_wins_adp_loses,1,raw
matplotlib__matplotlib-26331,0,1,0,0,only_raw;any_prior_not_no_memory;raw_wins_memory_loses;raw_wins_adp_loses,1,raw
matplotlib__matplotlib-27361,0,0,1,1,any_prior_not_no_memory;memory_wins_raw_loses;adp_wins_raw_loses,2,adp;memory
mwaskom__seaborn-3091,0,1,1,1,all_prior_only;any_prior_not_no_memory,3,raw;adp;memory
mwaskom__seaborn-3203,0,0,0,0,all_failed,0,
pallets__flask-4039,0,0,0,0,all_failed,0,
psf__requests-2344,0,0,0,0,all_failed,0,
psf__requests-3359,0,0,0,0,all_failed,0,
psf__requests-3481,0,0,0,0,all_failed,0,
pydata__xarray-4529,0,0,0,0,all_failed,0,
pydata__xarray-508,0,0,0,0,all_failed,0,
pylint-dev__pylint-6471,0,1,1,0,any_prior_not_no_memory;raw_wins_memory_loses,2,raw;adp
pytest-dev__pytest-10341,0,0,0,0,all_failed,0,
pytest-dev__pytest-9358,0,0,0,0,all_failed,0,
scikit-learn__scikit-learn-12622,1,1,1,1,all_solved,4,no_memory;raw;adp;memory
scikit-learn__scikit-learn-13771,0,0,0,0,all_failed,0,
scikit-learn__scikit-learn-15093,0,0,1,0,only_adp;any_prior_not_no_memory;adp_wins_raw_loses,1,adp
scikit-learn__scikit-learn-25365,1,1,0,1,raw_wins_adp_loses,3,no_memory;raw;memory
scikit-learn__scikit-learn-25578,0,0,0,0,all_failed,0,
scikit-learn__scikit-learn-25634,0,0,0,0,all_failed,0,
scikit-learn__scikit-learn-25635,0,0,0,0,all_failed,0,
scikit-learn__scikit-learn-25637,0,0,0,0,all_failed,0,
scikit-learn__scikit-learn-25763,0,0,1,1,any_prior_not_no_memory;memory_wins_raw_loses;adp_wins_raw_loses,2,adp;memory
scikit-learn__scikit-learn-5970,0,0,0,0,all_failed,0,
sphinx-doc__sphinx-8127,0,0,0,0,all_failed,0,
sphinx-doc__sphinx-8588,0,0,0,0,all_failed,0,
sympy__sympy-11275,0,0,0,0,all_failed,0,
sympy__sympy-11286,0,1,0,1,any_prior_not_no_memory;raw_wins_adp_loses,2,raw;memory
sympy__sympy-12426,0,1,0,0,only_raw;any_prior_not_no_memory;raw_wins_memory_loses;raw_wins_adp_loses,1,raw
sympy__sympy-12427,0,0,0,0,all_failed,0,
sympy__sympy-12950,0,0,0,0,all_failed,0,
sympy__sympy-13039,0,0,0,0,all_failed,0,
sympy__sympy-15059,0,0,0,0,all_failed,0,
sympy__sympy-16342,0,0,0,0,all_failed,0,
sympy__sympy-16689,1,1,0,1,raw_wins_adp_loses,3,no_memory;raw;memory
sympy__sympy-16946,0,0,0,0,all_failed,0,
sympy__sympy-16953,0,0,0,0,all_failed,0,
sympy__sympy-17377,0,0,0,0,all_failed,0,
sympy__sympy-18212,0,0,0,0,all_failed,0,
sympy__sympy-18715,0,0,0,0,all_failed,0,
sympy__sympy-19006,0,0,0,0,all_failed,0,
sympy__sympy-19235,1,0,1,0,adp_wins_raw_loses,2,no_memory;adp
sympy__sympy-19484,0,0,1,0,only_adp;any_prior_not_no_memory;adp_wins_raw_loses,1,adp
sympy__sympy-19558,0,0,0,0,all_failed,0,
sympy__sympy-21203,0,0,0,0,all_failed,0,
sympy__sympy-21309,0,0,0,0,all_failed,0,
sympy__sympy-23852,0,0,0,0,all_failed,0,
sympy__sympy-26642,0,0,0,0,all_failed,0,
sympy__sympy-27868,0,0,0,0,all_failed,0,
sympy__sympy-8772,0,0,0,0,all_failed,0,
sympy__sympy-9123,0,0,0,0,all_failed,0,
sympy__sympy-9384,0,0,0,0,all_failed,0,
