instance_id,eval_status_no_memory,eval_status_raw,eval_status_adp,eval_status_memory,eval_error_no_memory,eval_error_raw,eval_error_adp,eval_error_memory
psf__requests-3359,unresolved,unresolved,unresolved,unresolved,,,,
psf__requests-3481,no_patch,unresolved,unresolved,unresolved,No patch,,,
pydata__xarray-4529,unresolved,unresolved,unresolved,unresolved,,,,
pydata__xarray-508,unresolved,unresolved,unresolved,unresolved,,,,
pylint-dev__pylint-6471,no_patch,resolved,resolved,unresolved,No patch,,,
pytest-dev__pytest-10341,no_patch,patch_failed,patch_failed,patch_failed,No patch,Patch failed,Patch failed,Patch failed
pytest-dev__pytest-9358,no_patch,unresolved,unresolved,unresolved,No patch,,,
scikit-learn__scikit-learn-12622,resolved,resolved,resolved,resolved,,,,
scikit-learn__scikit-learn-13771,patch_failed,unresolved,patch_failed,unresolved,Patch failed,,Patch failed,
scikit-learn__scikit-learn-15093,unresolved,unresolved,resolved,unresolved,,,,
scikit-learn__scikit-learn-25365,resolved,resolved,no_patch,resolved,,,No patch,
scikit-learn__scikit-learn-25578,unresolved,unresolved,no_patch,unresolved,,,No patch,
scikit-learn__scikit-learn-25634,unresolved,unresolved,unresolved,unresolved,,,,
scikit-learn__scikit-learn-25635,unresolved,unresolved,unresolved,unresolved,,,,
scikit-learn__scikit-learn-25637,unresolved,unresolved,unresolved,unresolved,,,,
scikit-learn__scikit-learn-25763,unresolved,unresolved,resolved,resolved,,,,
scikit-learn__scikit-learn-5970,unresolved,unresolved,unresolved,no_patch,,,,No patch
sphinx-doc__sphinx-8127,no_patch,no_patch,no_patch,no_patch,No patch,No patch,No patch,No patch
sphinx-doc__sphinx-8588,unresolved,no_patch,unresolved,unresolved,,No patch,,
sympy__sympy-11275,unresolved,unresolved,unresolved,unresolved,,,,
sympy__sympy-11286,no_patch,resolved,patch_failed,resolved,No patch,,Patch failed,
sympy__sympy-12426,unresolved,resolved,unresolved,unresolved,,,,
sympy__sympy-12427,unresolved,unresolved,unresolved,unresolved,,,,
sympy__sympy-12950,unresolved,unresolved,unresolved,unresolved,,,,
sympy__sympy-13039,unresolved,unresolved,unresolved,unresolved,,,,
sympy__sympy-15059,no_patch,unresolved,unresolved,unresolved,No patch,,,
sympy__sympy-16342,no_patch,patch_failed,patch_failed,unresolved,No patch,Patch failed,Patch failed,
sympy__sympy-16689,resolved,resolved,unresolved,resolved,,,,
sympy__sympy-16946,unresolved,unresolved,unresolved,no_patch,,,,No patch
sympy__sympy-16953,unresolved,no_patch,no_patch,no_patch,,No patch,No patch,No patch
sympy__sympy-17377,no_patch,no_patch,patch_failed,no_patch,No patch,No patch,Patch failed,No patch
sympy__sympy-18212,unresolved,unresolved,unresolved,unresolved,,,,
sympy__sympy-18715,unresolved,unresolved,unresolved,unresolved,,,,
sympy__sympy-19006,patch_failed,unresolved,verifier_setup_failed,unresolved,Patch failed,,Verifier setup failed: collected 0 tests after patch for sympy__sympy-19006; expected 52 requested tests,
sympy__sympy-19235,resolved,patch_failed,resolved,unresolved,,Patch failed,,
sympy__sympy-19484,no_patch,unresolved,resolved,unresolved,No patch,,,
sympy__sympy-19558,no_patch,no_patch,no_patch,no_patch,No patch,No patch,No patch,No patch
sympy__sympy-21203,no_patch,unresolved,no_patch,no_patch,No patch,,No patch,No patch
sympy__sympy-21309,no_patch,unresolved,unresolved,unresolved,No patch,,,
sympy__sympy-23852,unresolved,no_patch,unresolved,unresolved,,No patch,,
sympy__sympy-26642,no_patch,unresolved,unresolved,unresolved,No patch,,,
sympy__sympy-27868,no_patch,unresolved,unresolved,unresolved,No patch,,,
sympy__sympy-8772,unresolved,unresolved,unresolved,unresolved,,,,
sympy__sympy-9123,unresolved,unresolved,unresolved,unresolved,,,,
sympy__sympy-9384,no_patch,unresolved,unresolved,no_patch,No patch,,,No patch
