instance_id,repo,prior_instance_id,target_instance_id,base_commit,condition_set_complete,resolved_no_memory,resolved_raw,resolved_adp,resolved_memory,eval_status_no_memory,eval_status_raw,eval_status_adp,eval_status_memory,eval_error_no_memory,eval_error_raw,eval_error_adp,eval_error_memory,empty_patch_no_memory,empty_patch_raw,empty_patch_adp,empty_patch_memory,non_empty_patch_no_memory,non_empty_patch_raw,non_empty_patch_adp,non_empty_patch_memory,patch_failed_no_memory,patch_failed_raw,patch_failed_adp,patch_failed_memory,no_patch_eval_no_memory,no_patch_eval_raw,no_patch_eval_adp,no_patch_eval_memory,patch_bytes_no_memory,patch_bytes_raw,patch_bytes_adp,patch_bytes_memory,patch_lines_added_no_memory,patch_lines_added_raw,patch_lines_added_adp,patch_lines_added_memory,patch_lines_deleted_no_memory,patch_lines_deleted_raw,patch_lines_deleted_adp,patch_lines_deleted_memory,patch_files_changed_no_memory,patch_files_changed_raw,patch_files_changed_adp,patch_files_changed_memory,run_exit_code_no_memory,run_exit_code_raw,run_exit_code_adp,run_exit_code_memory,run_status_no_memory,run_status_raw,run_status_adp,run_status_memory,openhands_iterations_no_memory,openhands_iterations_raw,openhands_iterations_adp,openhands_iterations_memory,llm_calls_no_memory,llm_calls_raw,llm_calls_adp,llm_calls_memory,input_tokens_no_memory,input_tokens_raw,input_tokens_adp,input_tokens_memory,output_tokens_no_memory,output_tokens_raw,output_tokens_adp,output_tokens_memory,total_tokens_no_memory,total_tokens_raw,total_tokens_adp,total_tokens_memory,max_turn_tokens_no_memory,max_turn_tokens_raw,max_turn_tokens_adp,max_turn_tokens_memory,wall_seconds_no_memory,wall_seconds_raw,wall_seconds_adp,wall_seconds_memory,prompt_chars_no_memory,prompt_chars_raw,prompt_chars_adp,prompt_chars_memory,prior_context_chars_no_memory,prior_context_chars_raw,prior_context_chars_adp,prior_context_chars_memory,empty_patch_cause_no_memory,empty_patch_cause_raw,empty_patch_cause_adp,empty_patch_cause_memory,notes
django__django-27910,django/django,django__django-11742,django__django-27910,25706d728536fea88e12f62856de7c4b569ae282,True,0,0,0,0,unresolved,unresolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3292,9666,8513,7938,37,173,212,196,0,1,1,0,2,4,2,3,0,0,0,0,success,success,success,success,34,86,40,0,34,84,41,139,2236264,2824772,1564423,3915783,21060,21869,12638,137633,2257324,2846641,1577061,4053416,35755,42900,50415,98304,1034.273,1154.19,864.168,3971.125,2638,34354,42186,23725,0,31680,39503,21042,,,,,
django__django-27995,django/django,django__django-12908,django__django-27995,f13147c8de725eed7038941758469aeb9bd66503,True,0,0,0,0,unresolved,unresolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,11137,4650,27388,2487,116,18,434,67,1,1,30,0,2,1,4,1,0,0,0,0,success,success,success,success,97,56,177,23,103,56,171,18,2860571,2006517,6891277,455412,133757,46911,69897,3244,2994328,2053428,6961174,458656,98304,71043,60948,29705,3459.56,1899.027,2647.109,372.384,1737,28574,36383,21362,0,26801,34601,19580,,,,,
django__django-28211,django/django,django__django-14016,django__django-28211,67e1afb4a8478af6725e45a9fdcd2a511b2eb005,True,0,0,1,1,unresolved,unresolved,resolved,resolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,5647,4703,2004,2911,118,123,31,51,0,0,0,0,2,2,2,2,0,0,0,0,success,success,success,success,65,40,46,42,69,41,39,41,2252728,1650696,1751529,1573035,16847,19717,14077,12720,2269575,1670413,1765606,1585755,48993,61887,64310,53921,6150.817,1784.799,598.913,499.103,2207,24847,30715,21689,0,22604,28463,19437,,,,,
django__django-28862,django/django,django__django-12708,django__django-28862,55b6f7af0c6ab7f25818445cfbb9e18ddafedcc9,True,0,0,0,0,no_patch,unresolved,patch_failed,unresolved,No patch,,Patch failed,,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,6967,8857,8415,0,183,150,220,0,0,14,0,0,1,4,1,0,0,0,0,success_empty_patch,success,success,success,17,24,23,22,19,24,25,22,1306754,692633,6232128,606584,8309,7487,336906,7221,1315063,700120,6569034,613805,45067,40477,98304,40437,543.661,514.51,9062.356,603.348,1734,22954,28854,18885,0,21184,27075,17106,normal_no_edit,,,,
django__django-28916,django/django,django__django-12708,django__django-28916,55b6f7af0c6ab7f25818445cfbb9e18ddafedcc9,True,0,0,0,0,no_patch,patch_failed,unresolved,unresolved,No patch,Patch failed,,,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,2708,5228,1209,0,14,139,10,0,4,0,0,0,2,1,1,0,0,0,0,success_empty_patch,success,success,success,38,86,20,18,40,84,18,18,858370,5263906,5096275,1561230,6855,282430,515745,13610,865225,5546336,5612020,1574840,34535,98307,98304,49644,450.674,7485.738,12839.546,758.314,2478,23698,29598,19629,0,21184,27075,17106,normal_no_edit,,,,
django__django-29123,django/django,django__django-12708,django__django-29123,55b6f7af0c6ab7f25818445cfbb9e18ddafedcc9,True,0,0,0,0,no_patch,no_patch,unresolved,unresolved,No patch,No patch,,,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4509,4590,0,0,55,45,0,0,7,0,0,0,2,2,0,0,0,0,success_empty_patch,success_empty_patch,success,success,24,32,98,28,24,33,104,28,560374,1932469,4573223,4860273,69365,182864,233783,90241,629739,2115333,4807006,4950514,98304,98305,98304,98304,1640.007,4451.483,6538.878,2920.963,3418,24638,30538,20569,0,21184,27075,17106,normal_no_edit,normal_no_edit,,,
django__django-29124,django/django,django__django-12708,django__django-29124,55b6f7af0c6ab7f25818445cfbb9e18ddafedcc9,True,0,0,0,0,unresolved,unresolved,unresolved,patch_failed,,,,Patch failed,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,77472,3792,4513,7480,1629,15,121,136,0,7,0,4,4,2,1,3,0,0,0,0,success,success,success,success,27,45,26,45,25,46,24,41,8019999,1687394,749005,3328487,359481,58002,7852,358875,8379480,1745396,756857,3687362,65538,65539,37923,98304,9558.989,1992.373,664.05,9307.079,3863,25083,30983,21014,0,21184,27075,17106,,,,,
django__django-29838,django/django,django__django-13220,django__django-29838,6752c2756eb9be28a37021d664b805ec169369d6,True,0,0,0,0,unresolved,unresolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2177,1570,1774,2561,24,19,19,42,2,2,1,1,2,2,2,2,0,0,0,0,success,success,success,success,22,19,22,0,22,19,23,28,452809,490308,715841,632637,4353,3752,4637,4806,457162,494060,720478,637443,27771,31800,37189,30715,178.198,162.612,207.487,211.75,2014,25842,31762,20322,0,23792,29703,18263,,,,,
django__django-30153,django/django,django__django-11019,django__django-30153,1933e56eca1ad17de7dd133bfb7cbee9858a75a3,True,0,0,0,0,no_patch,unresolved,unresolved,unresolved,No patch,,,,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,3672,7199,16166,0,120,211,467,0,0,0,0,0,1,1,1,0,0,0,0,success_empty_patch,success,success,success,9,21,7,39,9,22,7,41,1431322,777333,4069900,4273222,29246,3095,225219,225531,1460568,780428,4295119,4498753,45590,41212,98304,98305,857.847,478.526,6207.003,6702.254,1619,40908,49978,27907,0,39253,48314,26243,normal_no_edit,,,,
django__django-30254,django/django,django__django-11999,django__django-30254,f976ab1b117574db78d884c94e549a6b8e4c9f9b,True,0,1,1,0,no_patch,resolved,resolved,unresolved,No patch,,,,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,3294,1102,1959,0,71,4,52,0,0,3,0,0,2,1,1,0,0,0,0,success_empty_patch,success,success,success,47,30,29,10,52,32,30,10,1432907,972846,1012003,224122,160084,47481,8565,3514,1592991,1020327,1020568,227636,65538,65538,41574,26167,4216.103,1566.161,349.656,648.073,2292,20014,26575,18476,0,17686,24238,16139,normal_no_edit,,,,
django__django-30651,django/django,django__django-13220,django__django-30651,67e7dffe9543aff259f63c8f12d15642fe7be100,True,0,0,0,0,unresolved,unresolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,472,472,472,968,1,1,1,8,1,1,1,8,1,1,1,1,0,0,0,0,success,success,success,success,40,27,29,0,37,25,30,15,567310,543638,796760,286203,8708,3412,5032,2888,576018,547050,801792,289091,24058,27364,36558,24254,344.753,184.454,248.678,126.678,2263,26091,32011,20571,0,23792,29703,18263,,,,,
django__django-30931,django/django,django__django-12284,django__django-30931,84633905273fc916e3d17883810d9969c03f73c2,True,0,1,0,0,no_patch,resolved,unresolved,unresolved,No patch,,,,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1739,1748,1752,0,19,19,19,0,2,2,2,0,2,2,2,0,0,0,0,success_empty_patch,success,success,success,27,20,21,39,26,19,21,38,429356,414988,593700,1079151,2822,4179,3457,5967,432178,419167,597157,1085118,26373,27973,37021,37912,405.574,174.858,182.285,343.76,1816,24521,31824,22075,0,22669,29963,20214,normal_no_edit,,,,
django__django-31051,django/django,django__django-12453,django__django-31051,590957a0eb9a87a6f2bd3463226b0a7f1405d817,True,0,0,0,0,unresolved,unresolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,5248,5201,3629,5924,76,69,30,81,2,2,9,9,3,3,2,3,0,0,0,0,success,success,success,success,47,54,58,49,53,56,56,50,1645544,2271261,2547069,2378820,11220,11103,17777,82508,1656764,2282364,2564846,2461328,49724,59355,61110,98304,693.663,742.4,1015.03,2591.059,5695,28231,35711,24297,0,22500,29971,18557,,,,,
django__django-31181,django/django,django__django-14855,django__django-31181,855fc06236630464055b4f9ea422c68a07c6d02a,True,0,0,0,1,patch_failed,patch_failed,unresolved,resolved,Patch failed,Patch failed,,,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,10756,11217,13473,16925,86,115,100,188,12,11,17,14,4,3,3,3,0,0,0,0,success,success,success,success,51,0,0,51,50,93,192,53,3183377,3786642,8375712,4610234,35423,29267,67003,104111,3218800,3815909,8442715,4714345,49266,62835,65869,98304,1764.106,1550.486,3393.226,3530.967,1825,38272,48391,21098,0,36411,46521,19228,,,,,
django__django-31864,django/django,django__django-13321,django__django-31864,6e9c5ee88fc948e05b4a7d9f82a8861ed2b0343d,True,0,0,0,0,no_patch,no_patch,no_patch,no_patch,No patch,No patch,No patch,No patch,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,success_empty_patch,success_empty_patch,success_empty_patch,success_empty_patch,16,13,3,18,17,14,2,18,297618,298612,30772,450848,2371,1675,364,1759,299989,300287,31136,452607,24894,25056,16747,32018,274.426,275.823,282.21,347.935,1714,18616,19399,15342,0,16866,17640,13583,normal_no_edit,normal_no_edit,normal_no_edit,normal_no_edit,
django__django-32260,django/django,django__django-14787,django__django-32260,4a80d0f22021bb0af842f038eba45958e9576bec,True,0,0,0,0,patch_failed,unresolved,unresolved,unresolved,Patch failed,,,,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,5121,1835,2004,1792,107,20,25,20,4,1,0,1,3,3,3,3,0,0,0,0,success,success,success,success,91,35,41,43,91,34,42,43,2835709,1061918,1095842,1283141,28400,7780,10004,8019,2864109,1069698,1105846,1291160,53509,44113,37278,41250,1428.352,394.722,433.731,413.733,2516,17258,22556,15213,0,14706,19995,12652,,,,,
django__django-32450,django/django,django__django-14017,django__django-32450,1710cdbe79c90665046034fe1700933d038d90ad,True,1,1,1,1,resolved,resolved,resolved,resolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1707,1571,3614,1044,19,11,62,4,2,3,1,3,2,2,2,1,0,0,0,0,success,success,success,success,31,24,28,18,34,25,32,20,849083,789782,1313333,516875,5859,42841,67852,44711,854942,832623,1381185,561586,39658,65538,98304,65538,287.253,1149.569,1807.3,1159.459,1913,34648,42776,25013,0,32699,40818,23055,,,,,
django__django-33461,django/django,django__django-15388,django__django-33461,3a9b8b25d48c5768633e73edc5ddca20c3fd716c,True,1,1,1,0,resolved,resolved,resolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2514,3080,1954,1957,40,36,29,16,1,2,0,1,2,2,2,2,0,0,0,0,success,success,success,success,43,34,10,23,41,35,10,22,1356391,2172004,2378539,2726975,14046,11170,12339,15660,1370437,2183174,2390878,2742635,38671,56103,60377,65440,570.307,637.911,624.322,1088.054,7117,40118,48478,25654,0,32965,41316,18492,,,,,
django__django-33871,django/django,django__django-16229,django__django-33871,04b15022e8d1f49af69d8a1e6cd678f31f1280ff,True,0,0,0,1,no_patch,unresolved,no_patch,resolved,No patch,,No patch,,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,8086,0,8490,0,176,0,224,0,0,0,1,0,3,0,3,0,0,0,0,success_empty_patch,success,success_empty_patch,success,113,1,0,91,115,1,31,97,2936209,2607930,1409337,5780404,52183,86433,117643,231656,2988392,2694363,1526980,6012060,52927,98304,98304,98304,1892.927,2645.283,3098.576,6752.627,2066,71303,86900,25342,0,69201,84789,23231,normal_no_edit,,normal_no_edit,,
django__django-34176,django/django,django__django-12589,django__django-34176,016bead6a23989adec5c7ee6948db7ce2fc5e89b,True,0,0,0,0,no_patch,no_patch,no_patch,unresolved,No patch,No patch,No patch,,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1195,0,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,success_empty_patch,success_empty_patch,success_empty_patch,success,20,17,15,8,25,17,15,8,427250,545732,569937,765817,2502,2168,1386,2466,429752,547900,571323,768283,22437,36943,41364,37593,1679.43,347.228,291.121,522.16,4007,55194,66611,24662,0,51151,62559,20610,normal_no_edit,normal_no_edit,normal_no_edit,,
django__django-34481,django/django,django__django-16816,django__django-34481,83c9765f45e4622e4a5af3adcd92263a28b13624,True,0,0,0,0,unresolved,unresolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2104,2568,1890,2628,19,39,20,40,2,0,0,0,2,2,2,2,0,0,0,0,success,success,success,success,67,47,54,43,71,46,55,42,2061669,1680359,2395601,1576697,55137,12339,15452,13859,2116806,1692698,2411053,1590556,65538,45672,55271,55386,1768.786,531.084,686.293,559.148,9965,41707,48039,28380,0,31706,38029,18370,,,,,
django__django-34525,django/django,django__django-16820,django__django-34525,c61219a7ae051d2baab53f041e00592011fc550c,True,0,0,0,0,no_patch,unresolved,unresolved,unresolved,No patch,,,,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,11201,7097,619,0,240,216,1,0,0,0,1,0,2,1,1,0,0,0,0,success_empty_patch,success,success,success,33,40,37,44,33,36,35,42,1541882,1828192,1812049,1214827,14213,16386,6649,10215,1556095,1844578,1818698,1225042,48793,65656,65306,41595,586.815,1055.22,872.422,445.932,2036,51776,67045,21950,0,49704,64964,19869,normal_no_edit,,,,
django__django-34570,django/django,django__django-16910,django__django-34570,0ec60661e61b153e6bcec64649b1b7f524eb3e18,True,0,0,0,1,no_patch,no_patch,no_patch,resolved,No patch,No patch,No patch,,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,2680,0,0,0,26,0,0,0,1,0,0,0,3,0,0,0,0,success_empty_patch,success_empty_patch,success_empty_patch,success,21,22,18,49,17,22,19,50,284190,506132,506968,1678987,2050,2700,4842,12848,286240,508832,511810,1691835,22012,28510,33681,50829,265.342,317.245,351.429,712.809,6955,23416,30417,21021,0,16425,23417,14021,normal_no_edit,normal_no_edit,normal_no_edit,,
django__django-35356,django/django,django__django-16910,django__django-35356,53719d6b5b745dd99b1ab9315afb242f706ebbf1,True,0,0,0,0,no_patch,unresolved,unresolved,no_patch,No patch,,,No patch,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,2922,2480,0,0,36,87,0,0,1,0,0,0,3,1,0,0,0,0,0,success_empty_patch,success,success,success_empty_patch,26,73,21,14,25,72,21,14,590902,5079471,567505,263692,2522,99763,3166,1780,593424,5179234,570671,265472,30744,62226,34105,24593,401.551,3284.937,331.721,144.879,2882,19343,26344,16948,0,16425,23417,14021,normal_no_edit,,,normal_no_edit,
matplotlib__matplotlib-10050,matplotlib/matplotlib,matplotlib__matplotlib-23913,matplotlib__matplotlib-10050,c098519cea2d61d2206f6c4dacf81673afa255c1,True,1,1,1,1,resolved,resolved,resolved,resolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3587,2750,8495,3942,67,59,206,66,0,0,2,3,2,1,2,1,0,0,0,0,success,success,success,success,61,39,46,75,61,41,45,75,1583294,1437774,1610738,2171851,12852,7570,10998,18570,1596146,1445344,1621736,2190421,39106,51239,47888,42754,618.582,419.63,566.528,1132.619,2073,22923,28525,16447,0,20814,26407,14329,,,,,
matplotlib__matplotlib-18294,matplotlib/matplotlib,matplotlib__matplotlib-24149,matplotlib__matplotlib-18294,e8101f17d8a7d2d7eccff7452162c02a27980800,True,0,0,0,0,unresolved,unresolved,unresolved,unresolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1048,914,1516,4007,7,5,38,67,1,1,0,2,1,1,1,2,0,0,0,0,success,success,success,success,76,4,37,76,78,4,36,76,1987260,1432758,1165352,2150902,15647,10490,5528,12950,2002907,1443248,1170880,2163852,37687,35613,41272,35099,742.869,537.672,311.635,1068.1,9720,27499,30617,25726,0,17743,20852,15961,,,,,
matplotlib__matplotlib-22482,matplotlib/matplotlib,matplotlib__matplotlib-25332,matplotlib__matplotlib-22482,d347c3227f8de8a99aa327390fee619310452a96,True,1,0,0,0,resolved,patch_failed,patch_failed,patch_failed,,Patch failed,Patch failed,Patch failed,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,783,12372,103160,852,11,316,387,11,0,0,0,0,1,6,7,2,0,0,0,0,success,success,success,success,61,93,102,49,64,92,101,49,1920503,3928826,4084980,1918493,15119,29721,40572,20664,1935622,3958547,4125552,1939157,51378,56782,57895,65031,667.68,1393.016,1885.296,815.578,3311,28395,35971,23882,0,25048,32615,20526,,,,,
matplotlib__matplotlib-22686,matplotlib/matplotlib,matplotlib__matplotlib-22711,matplotlib__matplotlib-22686,e779b97174ff3ab2737fbdffb432ef8689201602,True,1,1,1,1,resolved,resolved,resolved,resolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,737,737,737,576,0,0,0,3,2,2,2,0,1,1,1,1,0,0,0,0,success,success,success,success,84,30,38,40,89,30,37,39,2048105,577026,932371,903306,21140,5319,8463,7688,2069245,582345,940834,910994,36924,26899,33470,34105,940.752,251.029,358.448,380.626,4692,16474,19038,14926,0,11746,14301,10189,,,,,
matplotlib__matplotlib-22706,matplotlib/matplotlib,matplotlib__matplotlib-22711,matplotlib__matplotlib-22706,f670fe78795b18eb1118707721852209cd77ad51,True,1,1,1,1,resolved,resolved,resolved,resolved,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7254,6911,4785,4791,161,152,101,84,0,0,0,0,4,2,2,3,0,0,0,0,success,success,success,success,182,63,70,38,181,64,69,39,4433997,1651006,2170946,888916,143203,16953,82529,7925,4577200,1667959,2253475,896841,65538,33540,98304,34404,4458.2,820.418,2429.288,384.698,3385,15167,17731,13619,0,11746,14301,10189,,,,,
